exercicio,caso,n,tempo_ns
1,m,0,130.0
1,p,0,140.0
1,m,10000,500.0
1,p,10000,26220.0
1,m,20000,430.0
1,p,20000,54770.0
1,m,30000,440.0
1,p,30000,81660.0
1,m,40000,450.0
1,p,40000,110640.0
1,m,50000,540.0
1,p,50000,130680.0
1,m,60000,450.0
1,p,60000,222710.0
1,m,70000,490.0
1,p,70000,188890.0
1,m,80000,500.0
1,p,80000,222240.0
1,m,90000,450.0
1,p,90000,239990.0
1,m,100000,510.0
1,p,100000,263450.0
1,m,110000,520.0
1,p,110000,359820.0
1,m,120000,550.0
1,p,120000,330380.0
1,m,130000,540.0
1,p,130000,380080.0
1,m,140000,480.0
1,p,140000,356570.0
1,m,150000,500.0
1,p,150000,412790.0
1,m,160000,560.0
1,p,160000,412380.0
1,m,170000,520.0
1,p,170000,439790.0
1,m,180000,480.0
1,p,180000,470820.0
1,m,190000,430.0
1,p,190000,516710.0
1,m,200000,440.0
1,p,200000,503250.0
1,m,210000,450.0
1,p,210000,558340.0
1,m,220000,470.0
1,p,220000,585050.0
1,m,230000,450.0
1,p,230000,634730.0
1,m,240000,480.0
1,p,240000,707590.0
1,m,250000,470.0
1,p,250000,800450.0
1,m,260000,430.0
1,p,260000,664400.0
1,m,270000,960.0
1,p,270000,736250.0
1,m,280000,460.0
1,p,280000,755970.0
1,m,290000,480.0
1,p,290000,802130.0
1,m,300000,480.0
1,p,300000,821270.0
1,m,310000,520.0
1,p,310000,786920.0
1,m,320000,510.0
1,p,320000,893050.0
1,m,330000,510.0
1,p,330000,906920.0
1,m,340000,920.0
1,p,340000,1037680.0
1,m,350000,430.0
1,p,350000,980870.0
1,m,360000,460.0
1,p,360000,1140510.0
1,m,370000,460.0
1,p,370000,1059730.0
1,m,380000,470.0
1,p,380000,1047230.0
1,m,390000,470.0
1,p,390000,1052210.0
1,m,400000,490.0
1,p,400000,1117920.0
1,m,410000,490.0
1,p,410000,1120420.0
1,m,420000,540.0
1,p,420000,1104500.0
1,m,430000,540.0
1,p,430000,1658790.0
1,m,440000,540.0
1,p,440000,3643710.0
1,m,450000,500.0
1,p,450000,1225580.0
1,m,460000,480.0
1,p,460000,1190700.0
1,m,470000,500.0
